Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Persentase Penduduk yang Memiliki Jaminan Kesehatan Menurut Jenis Jaminan - BPJS Kesehatan Penerima Bantuan Iuran (PBI),Persentase Penduduk yang Memiliki Jaminan Kesehatan Menurut Jenis Jaminan - BPJS Kesehatan Non-Penerima Bantuan Iuran (Non-PBI),Persentase Penduduk yang Memiliki Jaminan Kesehatan Menurut Jenis Jaminan - Jamkesda,Persentase Penduduk yang Memiliki Jaminan Kesehatan Menurut Jenis Jaminan - Asuransi Swasta,Persentase Penduduk yang Memiliki Jaminan Kesehatan Menurut Jenis Jaminan - Perusahaan/Kantor,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Tidak punya biaya berobat,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Tidak ada biaya transport,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Tidak ada sarana transportasi,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Waktu tunggu pelayanan lama,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Mengobati sendiri,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Tidak ada yang mendampingi,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Merasa tidak perlu,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Lainnya,Persentase Penduduk yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir dan Tidak Berobat Jalan Menurut Alasan Utama Tidak Berobat Jalan - Jumlah,Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Medis,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional
Aceh,77,9,174,192,85.29,12.5,1.28,0.13,0.7,68,81,338,4.32,0.06,37.08,NA,0.4,NA,62.05,32.36,NA,1.95,2.94,100,21,21,4,4,1,1,6,77,484,2,2,–
Sumatera Utara,185,23,178,441,41.36,26.55,1.52,0.21,2.63,74,79,3041,–,0.37,27.91,0.97,0.12,0.23,61.41,35.51,0.11,0.45,1.22,100,24,25,5,4,986,2,12,45,516,2,4,9
Sumatera Barat,53,30,108,172,48.39,26.73,8.42,0.17,1.19,62,86,578,1.11,0.02,41.63,0.77,0.21,0.12,61.83,35.33,NA,0.4,1.34,100,12,9,3,2,641,1,5,31,380,2,2,2
Riau,67,14,120,122,45.08,25.41,4.36,0.4,4.1,72,86,1031,1.69,0.44,54.07,0.23,NA,0.19,59.79,38.25,NA,0.29,1.14,100,13,10,4,2,487,770,6,60,466,1,2,2
Jambi,42,3,98,110,32.34,28.7,–,0.55,2.19,65,86,326,1.63,0.02,37.87,0.59,NA,NA,63.73,33.2,NA,0.56,1.74,100,8,7,2,1,474,521,3,30,218,857,1,9
Sumatera Selatan,72,17,110,244,50.17,19.21,5.29,0.42,1.92,63,89,927,3,–,45.57,0.25,NA,0.21,68.8,28.36,NA,0.33,1.57,100,17,15,4,3,1,1,6,49,418,2,3,–
Bengkulu,25,3,52,127,48.74,26.58,0.89,NA,1.7,48,76,197,1.55,–,41.35,0.42,NA,NA,63.46,34.5,NA,NA,1.1,100,5,5,1,1,330,578,1,16,86,367,931,–
Lampung,64,19,162,160,47.37,18.47,12.42,0.21,2.22,65,92,1134,1.89,0.2,69.21,0.23,0.06,NA,61.72,37.12,NA,NA,0.5,100,13,11,3,1,758,806,4,25,327,1,2,56
Kepulauan Bangka Belitung,25,4,25,39,50.66,33.44,–,0.27,1.01,63,85,282,3.5,0.01,104.72,NA,–,NA,77.25,21.9,NA,0.3,NA,100,4,2,1,479,156,247,1,20,114,402,585,–
Kepulauan Riau,34,5,28,68,31.77,47.88,0.69,0.44,7.65,50,82,867,1.79,0.25,91.31,NA,NA,NA,61.11,34.5,NA,NA,2.59,100,5,3,2,509,342,273,3,25,140,549,805,2
DKI Jakarta,142,52,2,42,62.14,29.5,NA,1.95,4.62,86,78,4353,4.44,0.05,95.17,NA,NA,NA,63.65,34.28,NA,0.58,0.96,100,39,7,13,1,743,1,28,333,2,5,8,166
Jawa Barat,382,54,279,827,41.62,28.64,0.48,0.89,3.63,97,86,9212,–,0.02,88.17,0.76,0.19,0.48,67.13,29.94,NA,0.34,1.14,100,74,33,26,4,2,3,33,263,2,9,12,40
Jawa Tengah,317,52,369,512,47.98,24.59,0.58,0.24,1.84,84,86,6057,4.01,0.02,27.81,0.32,0.15,0.1,70.49,27.69,0.05,0.23,0.97,100,66,30,25,4,2,3,21,240,3,8,10,34
DI Yogyakarta,64,16,47,74,58.64,30.43,0.2,0.78,1.81,75,85,944,0.76,0.04,53.31,NA,–,NA,73.41,23.76,–,0.89,1.41,100,12,3,5,490,398,634,6,178,599,2,2,4
