Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Medis,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional,facility_index,workforce_index,disease_burden_index,insurance_coverage_index
Aceh,77,9.0,174,192,0.8529000000000001,0.125,0.0128,0.0013,0.006999999999999999,68,81,338,4.32,0.06,37.08,0.00591304347826087,0.004,0.004025,0.6204999999999999,0.3236,0.006325,0.0195,0.0294,1.0,21,21,4,4,1,1,6,77,484,2,2,27.130434782608695,183.0,54.17753623188406,88.07666666666667,0.19980000000000003
Sumatera Utara,185,23.0,178,441,0.41359999999999997,0.2655,0.0152,0.0021,0.0263,74,79,3041,12.69375,0.37,27.91,0.0097,0.0012,0.0023,0.6141,0.35509999999999997,0.0011,0.0045000000000000005,0.012199999999999999,1.0,24,25,5,4,986,2,12,45,516,2,4,9.0,309.5,136.16666666666666,539.1622916666666,0.14454
Sumatera Barat,53,30.0,108,172,0.4839,0.2673,0.0842,0.0017000000000000001,0.011899999999999999,62,86,578,1.11,0.02,41.63,0.0077,0.0021,0.0012,0.6183,0.3533,0.006325,0.004,0.0134,1.0,12,9,3,2,641,1,5,31,380,2,2,2.0,140.0,90.83333333333333,128.12666666666667,0.1698
Riau,67,14.0,120,122,0.4508,0.2541,0.0436,0.004,0.040999999999999995,72,86,1031,1.69,0.44,54.07,0.0023,0.0050125,0.0019,0.5979,0.3825,0.006325,0.0029,0.011399999999999999,1.0,13,10,4,2,487,770,6,60,466,1,2,2.0,121.0,151.91666666666666,207.53333333333333,0.1587
Jambi,42,3.0,98,110,0.3234,0.287,0.06816176470588235,0.0055000000000000005,0.0219,65,86,326,1.63,0.02,37.87,0.0059,0.0050125,0.004025,0.6373,0.332,0.006325,0.005600000000000001,0.0174,1.0,8,7,2,1,474,521,3,30,218,857,1,9.0,104.0,177.58333333333334,86.08666666666666,0.14119235294117646
Sumatera Selatan,72,17.0,110,244,0.5017,0.19210000000000002,0.0529,0.0042,0.0192,63,89,927,3.0,17.34722222222222,45.57,0.0025,0.0050125,0.0021,0.688,0.2836,0.006325,0.0033,0.015700000000000002,1.0,17,15,4,3,1,1,6,49,418,2,3,27.130434782608695,177.0,45.5108695652174,190.819537037037,0.15402000000000002
Bengkulu,25,3.0,52,127,0.4874,0.2658,0.0089,0.003958064516129033,0.017,48,76,197,1.55,17.34722222222222,41.35,0.0042,0.0050125,0.004025,0.6346,0.345,0.006325,0.005995238095238094,0.011000000000000001,1.0,5,5,1,1,330,578,1,16,86,367,931,27.130434782608695,89.5,195.67753623188403,63.54120370370371,0.1566116129032258
Lampung,64,19.0,162,160,0.47369999999999995,0.18469999999999998,0.1242,0.0021,0.0222,65,92,1134,1.89,0.2,69.21,0.0023,0.0006,0.004025,0.6172,0.3712,0.006325,0.005995238095238094,0.005,1.0,13,11,3,1,758,806,4,25,327,1,2,56.0,161.0,167.25,227.05000000000004,0.16137999999999997
Kepulauan Bangka Belitung,25,4.0,25,39,0.5065999999999999,0.3344,0.06816176470588235,0.0027,0.0101,63,85,282,3.5,0.01,104.72,0.00591304347826087,0.0050125,0.004025,0.7725,0.21899999999999997,0.006325,0.003,0.01597058823529412,1.0,4,2,1,479,156,247,1,20,114,402,585,27.130434782608695,32.0,169.84420289855072,89.705,0.18439235294117645
Kepulauan Riau,34,5.0,28,68,0.3177,0.4788,0.0069,0.0044,0.0765,50,82,867,1.79,0.25,91.31,0.00591304347826087,0.0050125,0.004025,0.6111,0.345,0.006325,0.005995238095238094,0.0259,1.0,5,3,2,509,342,273,3,25,140,549,805,2.0,48.0,221.5,182.0583333333333,0.17686
