Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Medis,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional,facility_index,workforce_index,disease_burden_index,insurance_coverage_index
Aceh,0.18449197860962566,0.0963855421686747,0.27741935483870966,0.21019900497512436,1.0,0.08790925496261923,0.023897816234033788,0.04210526315789474,0.05054644808743169,0.3802816901408451,0.6944444444444446,0.01984354130891051,0.041332868919075824,0.00018557695876479974,0.1514324101763966,0.25724637681159424,0.10089020771513355,0.12453183520599248,0.4410323423717737,0.5361260568793236,0.2566079295154185,1.0,0.4166666666666667,0.0,0.273972602739726,0.020181634712411706,0.0031185031185031187,0.0031712473572938693,0.0,0.0,0.005393743257820927,0.22891566265060243,0.630890052356021,0.001053740779768177,0.001075268817204301,0.14048620850864893,0.3032015065913371,0.10354007931203492,0.014087073802129833,0.7363285225741065
Sumatera Utara,0.4732620320855615,0.26506024096385544,0.2838709677419355,0.5199004975124378,0.19037965352008834,0.45011600928074247,0.0288421920065925,0.08421052631578947,0.31420765027322406,0.46478873239436613,0.6388888888888888,0.27771417668383896,0.13855509114129805,0.001336154103106558,0.11168898712781171,0.5,0.01780415430267062,0.05992509363295879,0.42012414243711205,0.6571867794004609,0.026431718061674016,0.12790697674418608,0.15123456790123457,0.0,0.3150684931506849,0.02421796165489405,0.004158004158004158,0.0031712473572938693,1.0,0.0011737089201877935,0.01186623516720604,0.13253012048192772,0.6727748691099477,0.001053740779768177,0.0032258064516129032,0.043010752688172046,0.5414312617702448,0.3556119948313504,0.27307857928328344,0.11662833741655065
Sumatera Barat,0.12032085561497324,0.3493975903614458,0.17096774193548386,0.1853233830845771,0.31994102469590846,0.45475638051044076,0.17099299546765553,0.06315789473684212,0.1174863387978142,0.295774647887324,0.8333333333333335,0.042739935126884177,0.004063624753279926,3.711539175295995e-05,0.1711524292463052,0.3717948717948718,0.044510385756676554,0.018726591760299616,0.43384514864423385,0.6502690238278246,0.2566079295154185,0.09883720930232559,0.16975308641975312,0.0,0.1506849315068493,0.008072653884964682,0.002079002079002079,0.0010570824524312897,0.6497461928934011,0.0,0.004314994606256742,0.09036144578313254,0.4947643979057592,0.001053740779768177,0.001075268817204301,0.005376344086021506,0.2222222222222222,0.21623668849975486,0.037081842909481015,0.3999006261802107
Riau,0.15775401069518716,0.1566265060240964,0.19032258064516128,0.12313432835820896,0.2589384445263544,0.4207269914926527,0.08735063864853729,0.1842105263157895,0.5150273224043715,0.43661971830985913,0.8333333333333335,0.08595687845830949,0.01079763148728666,0.0015959618453772779,0.2250682616044727,0.025641025641025647,0.1309347181008902,0.04494382022471909,0.36720026135249917,0.762490392006149,0.2566079295154185,0.03488372093023254,0.1388888888888889,0.0,0.1643835616438356,0.009081735620585268,0.0031185031185031187,0.0010570824524312897,0.4934010152284264,0.9025821596244132,0.005393743257820927,0.17771084337349397,0.6073298429319373,0.0,0.001075268817204301,0.005376344086021506,0.1864406779661017,0.4040346655972908,0.08267330272432247,0.2754223045144695
Jambi,0.0909090909090909,0.02409638554216868,0.15483870967741933,0.10820895522388059,0.024143015112421673,0.5055426656354729,0.13795171962480912,0.26315789473684215,0.2540983606557377,0.3380281690140845,0.8333333333333335,0.01869872161801183,0.010101010101010102,3.711539175295995e-05,0.15485632557534776,0.2564102564102564,0.1309347181008902,0.12453183520599248,0.49591636720026133,0.5684089162182937,0.2566079295154185,0.1918604651162791,0.2314814814814815,0.0,0.0958904109589041,0.006054490413723511,0.0010395010395010396,0.0,0.4802030456852792,0.6103286384976526,0.002157497303128371,0.08734939759036145,0.28272251308900526,0.9020021074815595,0.0,0.043010752688172046,0.1544256120527307,0.4829456846232678,0.012944512240990531,0.0790869421542435
Sumatera Selatan,0.1711229946524064,0.1927710843373494,0.17419354838709677,0.27487562189054726,0.35274603759675627,0.2608919824697087,0.10651009476720232,0.19473684210526315,0.21721311475409832,0.3098591549295775,0.9166666666666665,0.07603510780385422,0.02600719842099153,0.06434777946859006,0.1882286655398084,0.03846153846153848,0.1309347181008902,0.052434456928838934,0.6615485135576609,0.3823981552651805,0.2566079295154185,0.05813953488372092,0.20524691358024696,0.0,0.2191780821917808,0.014127144298688193,0.0031185031185031187,0.00211416490486258,0.0,0.0,0.005393743257820927,0.14457831325301204,0.5445026178010471,0.001053740779768177,0.002150537634408602,0.14048620850864893,0.2919020715630885,0.07689480016040638,0.07307705087062369,0.22293955267702192
Bengkulu,0.04545454545454544,0.02409638554216868,0.08064516129032259,0.12935323383084577,0.32639144858090663,0.45088940448569204,0.015863205603625877,0.18200339558573858,0.1871584699453552,0.09859154929577463,0.5555555555555558,0.006391909940850982,0.009172181585974689,0.06434777946859006,0.16993888961123388,0.1474358974358974,0.1309347181008902,0.12453183520599248,0.4870957203528261,0.6183704842428899,0.2566079295154185,0.21483942414174964,0.13271604938271608,0.0,0.0547945205479452,0.004036326942482341,0.0,0.0,0.33401015228426395,0.6772300469483569,0.0,0.045180722891566265,0.1099476439790576,0.3856691253951528,0.9999999999999999,0.14048620850864893,0.1271186440677966,0.5385755023838166,0.0,0.25200258192033953
Lampung,0.1497326203208556,0.21686746987951808,0.25806451612903225,0.17039800995024873,0.3011426465167709,0.24181490074761527,0.25339925834363414,0.08421052631578947,0.2581967213114754,0.3380281690140845,1.0,0.09578324747185651,0.013119702774875187,0.0007051924433062391,0.2906860833008277,0.025641025641025647,0.0,0.12453183520599248,0.4302515517804639,0.7190622598001535,0.2566079295154185,0.21483942414174964,0.04012345679012347,0.0,0.1643835616438356,0.010090817356205853,0.002079002079002079,0.0,0.768527918781726,0.9448356807511737,0.0032362459546925564,0.07228915662650603,0.4253926701570681,0.0,0.001075268817204301,0.2956989247311828,0.2617702448210923,0.4511763133270952,0.09387882691271543,0.305476529925657
Kepulauan Bangka Belitung,0.04545454545454544,0.03614457831325302,0.037096774193548385,0.019900497512437814,0.3617766310357535,0.6277391080175302,0.13795171962480912,0.11578947368421055,0.09289617486338797,0.3098591549295775,0.8055555555555558,0.014501049418049989,0.03181237663996285,0.0,0.4445889134486195,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.9376020908199936,0.13412759415833952,0.2566079295154185,0.04069767441860467,0.20942265795206974,0.0,0.0410958904109589,0.0010090817356205853,0.0,0.5052854122621565,0.15736040609137059,0.2887323943661972,0.0,0.0572289156626506,0.14659685863874347,0.422550052687039,0.6279569892473118,0.14048620850864893,0.018832391713747648,0.4591520741433853,0.015021983890264753,0.5635431129614532
Kepulauan Riau,0.0695187165775401,0.04819277108433735,0.04193548387096774,0.05597014925373135,0.013638039071138808,1.0,0.011742892459826945,0.20526315789473687,0.9999999999999999,0.12676056338028174,0.7222222222222223,0.07031100934936081,0.011958667131080925,0.0008907694020710388,0.38646903306895497,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.41032342371773933,0.6183704842428899,0.2566079295154185,0.21483942414174964,0.3626543209876543,0.0,0.0547945205479452,0.00201816347124117,0.0010395010395010396,0.5369978858350951,0.3461928934010152,0.3192488262910798,0.002157497303128371,0.07228915662650603,0.1806282722513089,0.577449947312961,0.864516129032258,0.005376344086021506,0.048964218455743884,0.617965512632001,0.06804679228712465,0.47907332446490747
