province_id,Provinsi,indicator,value
1,Aceh,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,81.0
1,Aceh,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,37.08
1,Aceh,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,0.06
1,Aceh,Jumlah Kasus Penyakit - Angka Penemuan TBC,68.0
1,Aceh,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,338.0
1,Aceh,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,4.32
1,Aceh,Jumlah Puskesmas Non Rawat Inap,192.0
1,Aceh,Jumlah Puskesmas Rawat Inap,174.0
1,Aceh,Jumlah Rumah Sakit Khusus,9.0
1,Aceh,Jumlah Rumah Sakit Umum,77.0
1,Aceh,Jumlah Tenaga Kesehatan Psikologi Klinis,77.0
1,Aceh,Jumlah Tenaga Kesehatan Tradisional,27.130434782608692
1,Aceh,Jumlah Tenaga Keteknisan Medis,2.0
1,Aceh,Jumlah Tenaga Keterapian Fisik,484.0
1,Aceh,Jumlah Tenaga Medis,6.0
1,Aceh,Jumlah Tenaga Teknik Biomedika,2.0
1,Aceh,Tenaga Gizi,1.0
1,Aceh,Tenaga Kebidanan,21.0
1,Aceh,Tenaga Kefarmasian,4.0
1,Aceh,Tenaga Kesehatan Lingkungan,1.0
1,Aceh,Tenaga Kesehatan Masyarakat,4.0
1,Aceh,Tenaga Medis,21.0
1,Aceh,disease_burden_index,88.07666666666667
1,Aceh,facility_index,183.0
1,Aceh,insurance_coverage_index,0.1998
1,Aceh,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,0.0013
1,Aceh,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,0.125
1,Aceh,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,0.8529000000000001
1,Aceh,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.0128
1,Aceh,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.0069999999999999
1,Aceh,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
1,Aceh,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.0294
1,Aceh,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.3236
1,Aceh,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.0195
