,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua Barat Daya,Papua,Papua Selatan,Papua Tengah,Papua Pegunungan
Aceh,0.9999999999999998,0.5079562500730735,0.9441721806007163,0.7105115620978213,0.37655269178151346,0.8521552811017926,0.5730796988502349,0.7171493910515875,0.8019008184805128,0.6848549705839441,0.8372609982640085,0.4247422211096579,0.48828638424079923,0.7803206934764351,0.42067784754387866,0.6607381396355563,0.8159763753966266,0.9261674940677306,0.8120563118997131,0.5589137752323747,0.3825081037220654,0.8621175051885864,0.7973212291723741,0.7627707398874243,0.6338510933124473,0.7152481551440392,0.9247337227771973,0.9603760332770528,0.6379074223629985,0.7767810631571905,0.2076303183556959,0.39917493562524176,0.603567918648525,0.7846096256008975,0.4540759759593225,0.779091650093457,0.5151220545623533,0.9417716617457399
Sumatera Utara,0.5079562500730735,1.0000000000000002,0.7024679892741473,0.7928347661810798,0.7329601689024768,0.8491945149782685,0.6686972723514809,0.8337429982369055,0.46945050707246627,0.5723329367549604,0.44233587194622803,0.8624716758044306,0.8816047542655839,0.5671192594342903,0.8373143747434645,0.7987856463452482,0.593045410927375,0.6630090470157282,0.7864465311779756,0.856429716975468,0.7137041962515636,0.8181988077862381,0.6398534991271327,0.4711711831513579,0.6644483851934533,0.7128592296249069,0.7720826234541462,0.6967536364122762,0.5495582254629079,0.48898547529086006,0.6719854438793236,0.6266014774474237,0.6201396525556675,0.5679577840142508,0.6566086535366409,0.5053106275509492,0.7005855843040131,0.43289136430071384
Sumatera Barat,0.9441721806007163,0.7024679892741473,1.0,0.9002680265202332,0.6559873035382572,0.8937002297155171,0.7956966033791136,0.90654356547785,0.8925926560319575,0.8486454074762382,0.8339761907107587,0.5028021030125999,0.5598115860182137,0.9035663746900975,0.4993675102252226,0.8596536570436297,0.9110308876775687,0.9904343691717981,0.8022608395812743,0.8005711688740761,0.6597958492855289,0.9787424143692789,0.9269827651334193,0.8727800053098904,0.8356281118065034,0.8957142342969827,0.9364481080376409,0.9974318482465914,0.8164613025183678,0.8857252604704213,0.5136880046124548,0.6615864482159781,0.80137048160153,0.9080074283611523,0.6977125321198261,0.890055026992183,0.7469635536976189,0.9367896800689343
Riau,0.7105115620978213,0.7928347661810798,0.9002680265202332,1.0000000000000002,0.9073595376747571,0.7550404890263903,0.9644864419587124,0.996583495127994,0.8965664830136654,0.9513778244012417,0.7323802167007659,0.47221275559120246,0.5060509724382294,0.9429191754330604,0.48242865081642305,0.9862756115136697,0.9151479128988897,0.9167600976582368,0.603569883047653,0.9745257353839881,0.913718650838347,0.9535060873864459,0.9639731628114553,0.9055188101054578,0.9772062194822729,0.9923969465632339,0.7713054118781549,0.8701409153826835,0.9420669329640863,0.912512534750897,0.8281448363198238,0.9113604379991712,0.9559916375838213,0.9447944275808862,0.9271403618008103,0.918866825827372,0.9493183989374737,0.7993217760154078
Jambi,0.37655269178151346,0.7329601689024768,0.6559873035382572,0.9073595376747571,0.9999999999999997,0.5135799730022937,0.9600567134454652,0.9034259142132597,0.7216214031366105,0.8540783504852903,0.4131008610449479,0.30763564809795196,0.33209462125991496,0.7867936739235654,0.3031176617400566,0.8890735797992135,0.6988485599244473,0.6733533281988684,0.3327415435706807,0.959821915967906,0.9981623329683118,0.7713498487521184,0.80044257765632,0.7594587656931315,0.9268650171157977,0.901852555356855,0.4731513414354647,0.6074719989223427,0.8820428019222457,0.7619089393199006,0.9832335320887537,0.976491633958481,0.8928317023461214,0.7927333217739913,0.9274394226035919,0.7639595839306347,0.9184156504998825,0.5128074415859258
Sumatera Selatan,0.8521552811017926,0.8491945149782685,0.8937002297155171,0.7550404890263903,0.5135799730022937,1.0000000000000002,0.5794462119863907,0.7955989668280284,0.6025240186148487,0.5773790080557883,0.6407833190953899,0.7832653218981198,0.8374154895405467,0.6441060023753585,0.7481734104467341,0.7180836318349247,0.68872605272174,0.8370190029227844,0.9779096097251334,0.7071452003761386,0.4972480898641687,0.9064562737222741,0.7046210744665768,0.5739313070483582,0.6085172912379432,0.7002113280867363,0.975749626119235,0.9125211932516917,0.5345152224186122,0.5960076214964029,0.37099244716539365,0.4367332982701924,0.5502485920150726,0.6494818684303848,0.47857739749331996,0.6062815954464322,0.5475366074795214,0.7105237797331329
Bengkulu,0.5730796988502349,0.6686972723514809,0.7956966033791136,0.9644864419587124,0.9600567134454652,0.5794462119863907,0.9999999999999999,0.9496874940376517,0.8857026725221988,0.9615246192270531,0.6121875525091024,0.2557874354092334,0.28985183452368063,0.9239980833714798,0.2650029527510067,0.9397480513829287,0.8495639654122839,0.8247768791670602,0.39631355954281045,0.9537028128117788,0.9680747256760714,0.8593785777805757,0.9259790171453606,0.9106449058321723,0.9923625453985545,0.9787569460762381,0.5897982296300226,0.7515886164898814,0.9761737272936545,0.9123965802156851,0.9083833319935508,0.9780005529504806,0.9687653817378666,0.9288834408447715,0.9524005269171297,0.9129771296114694,0.9521688575733234,0.7227196103844084
Lampung,0.7171493910515875,0.8337429982369055,0.90654356547785,0.996583495127994,0.9034259142132597,0.7955989668280284,0.9496874940376517,1.0,0.866784369836146,0.9237111630787059,0.7064166493247113,0.5231872675138802,0.5601963996376321,0.9179009178584947,0.5246994737491345,0.9783575400346118,0.89186171346135,0.9124075182430073,0.6530368798049884,0.9784287149061758,0.9052761746611795,0.9657082980849836,0.9454365781089971,0.8745059516126859,0.9588862276645126,0.9810077707829088,0.7976459026776537,0.8799801508658993,0.9139649249380729,0.8835796913946135,0.8198458991503098,0.8904616722515157,0.9290903233862906,0.9209361687183184,0.9020731488596463,0.890349085425584,0.9282140751964174,0.7806065820950425
Kepulauan Bangka Belitung,0.8019008184805128,0.46945050707246627,0.8925926560319575,0.8965664830136654,0.7216214031366105,0.6025240186148487,0.8857026725221988,0.866784369836146,1.0,0.9715141533849462,0.8595908553703486,0.1696132259755006,0.20895446663571454,0.9915574152690431,0.20488143056887514,0.8744450360926757,0.9644907586933429,0.9382242963012103,0.45119983372639255,0.7846205042484428,0.7457809854265134,0.861722838720923,0.9775114537475781,0.9973749138375227,0.9265663832687252,0.9360927513960562,0.6988182834132137,0.8643669131420053,0.956275372468761,0.997894178757717,0.62227660906666,0.8060205298389851,0.9302790053425884,0.9920281240686355,0.8369288028408337,0.9979273802494385,0.854007253038829,0.9452525514309587
Kepulauan Riau,0.6848549705839441,0.5723329367549604,0.8486454074762382,0.9513778244012417,0.8540783504852903,0.5773790080557883,0.9615246192270531,0.9237111630787059,0.9715141533849462,1.0,0.7876905761553693,0.2244144648390993,0.25285816397945454,0.989069858906888,0.25974276788933764,0.9424094145338892,0.949117816428066,0.898048843455545,0.40392355874717656,0.8880362192688578,0.8753228102029266,0.8653919747398031,0.9819952667612886,0.9825285472642401,0.9857272941845066,0.9789393031414332,0.6456604544832627,0.8094938221603077,0.9947308821143807,0.9821169664211433,0.7846089442115671,0.920031355999313,0.9896018040397331,0.9887020667844376,0.9404376088942162,0.9844419162309686,0.9480664895313331,0.8529338902929361
